,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
4284,Recurso,3AQP,553.96,504.68,469.92,486.64,468.6,464.64,460.68,470.36,454.08,469.92,317.68,445.72,469.04,513.48,519.2,493.68,465.96,469.04,446.6,431.64,386.76,457.16,374.88,405.24,2024-11-10
4584,Recurso,3AQP,405.68,407.0,415.8,509.52,507.32,672.76,735.68,635.8,542.52,532.4,497.2,502.04,515.68,496.32,495.0,467.28,487.96,444.84,421.08,471.24,427.24,421.08,434.28,413.16,2024-11-11
4884,Recurso,3AQP,414.04,414.04,413.6,414.48,416.24,396.0,367.4,429.44,381.48,429.88,409.64,413.6,415.8,416.24,400.4,404.36,254.32,267.96,429.88,434.72,391.16,359.92,371.36,379.28,2024-11-12
5186,Recurso,3AQP,385.0,372.24,375.32,151.8,152.24,522.28,305.8,395.12,251.68,498.96,259.16,468.16,410.96,381.92,373.56,379.72,366.08,351.56,361.68,354.2,351.12,355.96,359.04,355.96,2024-11-13
5487,Recurso,3AQP,347.16,330.44,317.68,290.84,349.8,413.6,469.48,517.88,495.88,455.84,383.68,279.4,393.36,406.12,395.12,346.28,346.72,353.76,344.52,333.52,333.52,333.52,328.68,333.96,2024-11-14
5785,Recurso,3AQP,334.84,324.72,311.96,316.8,312.84,317.24,272.8,247.72,278.52,279.84,440.88,351.12,306.24,366.96,333.52,353.32,325.6,320.32,320.32,315.04,313.28,316.36,309.32,316.36,2024-11-15
6082,Recurso,3AQP,320.32,326.92,326.92,333.96,304.92,241.56,341.88,297.44,310.2,291.28,357.28,361.24,333.96,343.2,335.72,333.96,312.84,347.6,275.0,348.92,284.24,332.2,290.4,305.36,2024-11-16
6385,Recurso,3AQP,312.4,302.72,295.68,298.76,289.96,306.24,468.16,457.6,207.24,427.24,740.52,572.0,612.48,491.04,455.84,428.56,412.72,401.28,376.64,372.68,363.44,352.44,358.6,340.12,2024-11-17
6689,Recurso,3AQP,341.44,347.6,205.04,355.08,361.24,353.76,296.12,367.84,348.48,485.76,444.84,349.8,472.12,418.44,574.2,825.88,645.48,546.04,491.48,448.8,456.28,416.68,430.32,400.4,2024-11-18
6994,Recurso,3AQP,417.12,440.0,473.44,408.76,462.88,514.8,285.56,444.4,429.0,440.44,424.6,416.24,388.08,384.12,422.4,330.0,400.4,488.84,357.72,407.88,357.28,358.16,371.8,383.68,2024-11-19
